date,cases
2/28/2020,1
2/29/2020,4
3/1/2020,5
3/2/2020,5
3/3/2020,5
3/4/2020,5
3/5/2020,5
3/6/2020,6
3/7/2020,6
3/8/2020,7
3/9/2020,7
3/10/2020,7
3/11/2020,8
3/12/2020,12
3/13/2020,26
3/14/2020,41
3/15/2020,53
3/16/2020,82
3/17/2020,93
3/18/2020,118
3/19/2020,164
3/20/2020,203
3/21/2020,251
3/22/2020,316
3/23/2020,367
3/24/2020,405
3/25/2020,475
3/26/2020,585
3/27/2020,717
3/28/2020,848
3/29/2020,993
3/30/2020,1094
3/31/2020,1215
4/1/2020,1378
4/2/2020,1510
4/3/2020,1688
4/4/2020,1890
4/5/2020,2143
4/6/2020,2439
4/7/2020,2785
4/8/2020,3181
4/9/2020,3441
4/10/2020,3844
4/11/2020,4219
4/12/2020,4661
4/13/2020,5014
4/14/2020,5399
4/15/2020,5847
4/16/2020,6297
4/17/2020,6875
4/18/2020,7497
4/19/2020,8261
4/20/2020,8772
4/21/2020,9501
4/22/2020,10544
4/23/2020,11633
4/24/2020,12872
4/25/2020,13842
4/26/2020,14677
4/27/2020,15529
4/28/2020,16752
4/29/2020,17799
4/30/2020,19224
5/1/2020,20739
5/2/2020,22088
5/3/2020,23471
5/4/2020,24905
5/5/2020,26025
5/6/2020,27634
5/7/2020,29616
5/8/2020,31522
5/9/2020,33460
5/10/2020,35022
5/11/2020,36327
5/12/2020,38324
5/13/2020,40186
5/14/2020,42595
5/15/2020,45032
5/16/2020,47144
5/17/2020,49219
5/18/2020,51633
5/19/2020,54346
5/20/2020,56594
5/21/2020,59567
5/22/2020,62527
5/23/2020,65856
5/24/2020,68620
5/25/2020,71105
5/26/2020,74560
5/27/2020,78023
5/28/2020,81400
5/29/2020,84627
5/30/2020,87512
5/31/2020,90664
6/1/2020,93435
6/2/2020,97326
6/3/2020,101238
6/4/2020,105680
6/5/2020,110026
6/6/2020,113619
6/7/2020,117103
6/8/2020,120102
6/9/2020,124301
6/10/2020,129184
6/11/2020,133974
6/12/2020,139196
6/13/2020,142690
6/14/2020,146837
6/15/2020,150264
6/16/2020,154863
6/17/2020,159793
6/18/2020,165455
6/19/2020,170485
6/20/2020,175202
6/21/2020,180545
6/22/2020,185122
6/23/2020,191410
6/24/2020,196847
6/25/2020,202951
6/26/2020,208392
6/27/2020,212802
6/28/2020,216852
6/29/2020,220657
6/30/2020,226089
7/1/2020,231770
7/2/2020,238511
7/3/2020,245251
7/4/2020,252165
7/5/2020,256848
7/6/2020,261750
7/7/2020,268008
7/8/2020,275003
7/9/2020,282283
7/10/2020,289174
7/11/2020,295268
7/12/2020,299750
7/13/2020,304435
7/14/2020,311486
7/15/2020,317635
7/16/2020,324041
7/17/2020,331298
7/18/2020,338913
7/19/2020,344224
7/20/2020,349396
7/21/2020,356255
7/22/2020,362274
7/23/2020,370712
7/24/2020,378285
7/25/2020,385036
7/26/2020,390516
7/27/2020,395489
7/28/2020,402697
7/29/2020,408449
7/30/2020,416179
7/31/2020,424637
8/1/2020,434193
8/2/2020,439046
8/3/2020,443813
8/4/2020,449961
8/5/2020,456100
8/6/2020,462690
8/7/2020,469407
8/8/2020,475902
8/9/2020,480278
8/10/2020,485836
8/11/2020,492522
8/12/2020,498380
8/13/2020,505751
8/14/2020,511369
8/15/2020,517714
8/16/2020,522162
8/17/2020,525733
8/18/2020,531239
8/19/2020,537031
8/20/2020,543806
8/21/2020,549734
8/22/2020,556216
8/23/2020,560164
8/24/2020,563705
8/25/2020,568621
8/26/2020,573888
8/27/2020,579914
8/28/2020,585738
8/29/2020,591712
8/30/2020,595841
8/31/2020,599560
9/1/2020,606036
9/2/2020,610957
9/3/2020,616894
9/4/2020,623090
9/5/2020,629409
9/6/2020,634023
9/7/2020,637509
9/8/2020,642860
9/9/2020,647321
9/10/2020,652364
9/11/2020,658299
9/12/2020,663973
9/13/2020,668381
9/14/2020,671716
9/15/2020,676487
9/16/2020,680931
9/17/2020,684113
9/18/2020,688954
9/19/2020,694121
9/20/2020,697663
9/21/2020,700580
9/22/2020,705263
9/23/2020,710049
9/24/2020,715457
9/25/2020,720858
9/26/2020,726431
9/27/2020,730317
9/28/2020,733717
9/29/2020,738163
9/30/2020,743216
10/1/2020,748315
10/2/2020,753090
10/3/2020,757953
10/4/2020,761665
10/5/2020,789780
10/6/2020,794608
10/7/2020,799188
10/8/2020,804488
10/9/2020,810020
10/10/2020,814328
10/11/2020,817503
10/12/2020,821045
10/13/2020,825340
10/14/2020,829396
10/15/2020,834910
10/16/2020,841661
10/17/2020,847108
10/18/2020,851227
10/19/2020,854926
10/20/2020,860714
10/21/2020,867559
10/22/2020,874171
10/23/2020,880775
10/24/2020,886800
10/25/2020,891160
10/26/2020,895326
10/27/2020,901268
10/28/2020,906863
10/29/2020,912811
10/30/2020,918811
10/31/2020,924962
11/1/2020,929392
11/2/2020,933155
11/3/2020,938405
11/4/2020,943630
11/5/2020,949197
11/6/2020,955128
11/7/2020,961938
11/8/2020,967825
11/9/2020,972785
11/10/2020,978531
11/11/2020,986177
11/12/2020,991835
11/13/2020,997393
11/14/2020,1003253
11/15/2020,1006522
11/16/2020,1009396
11/17/2020,1011153
11/18/2020,1015071
11/19/2020,1019543
11/20/2020,1025969
11/21/2020,1032688
11/22/2020,1041875
11/23/2020,1049358
11/24/2020,1060152
11/25/2020,1070487
11/26/2020,1078594
11/27/2020,1090675
11/28/2020,1101403
11/29/2020,1107071
11/30/2020,1113543
12/1/2020,1122362
12/2/2020,1133613
12/3/2020,1144643
12/4/2020,1156770
12/5/2020,1168395
12/6/2020,1175850
12/7/2020,1182249
12/8/2020,1193255
12/9/2020,1205229
12/10/2020,1217126
12/11/2020,1229379
12/12/2020,1241436
12/13/2020,1250044
12/14/2020,1255974
12/15/2020,1267202
12/16/2020,1277499
12/17/2020,1289298
12/18/2020,1301546
12/19/2020,1313675
12/20/2020,1320545
12/21/2020,1325915
12/22/2020,1338426
12/23/2020,1350079
12/24/2020,1362564
12/25/2020,1372243
12/26/2020,1377217
12/27/2020,1383434
12/28/2020,1389430
12/29/2020,1401529
12/30/2020,1413935
12/31/2020,1426094
1/1/2021,1437185
1/2/2021,1443544
1/3/2021,1448755
1/4/2021,1455219
1/5/2021,1466490
1/6/2021,1479835
1/7/2021,1493569
1/8/2021,1507931
1/9/2021,1524036
1/10/2021,1534039
1/11/2021,1541633
1/12/2021,1556028
1/13/2021,1571901
1/14/2021,1588369
1/15/2021,1609735
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
