symbol,date,price
AMZN,2/28/2020,1
AMZN,2/29/2020,4
AMZN,3/1/2020,5
AMZN,3/2/2020,5
AMZN,3/3/2020,5
AMZN,3/4/2020,5
AMZN,3/5/2020,5
AMZN,3/6/2020,6
AMZN,3/7/2020,6
AMZN,3/8/2020,7
AMZN,3/9/2020,7
AMZN,3/10/2020,7
AMZN,3/11/2020,8
AMZN,3/12/2020,12
AMZN,3/13/2020,26
AMZN,3/14/2020,41
AMZN,3/15/2020,53
AMZN,3/16/2020,82
AMZN,3/17/2020,93
AMZN,3/18/2020,118
AMZN,3/19/2020,164
AMZN,3/20/2020,203
AMZN,3/21/2020,251
AMZN,3/22/2020,316
AMZN,3/23/2020,367
AMZN,3/24/2020,405
AMZN,3/25/2020,475
AMZN,3/26/2020,585
AMZN,3/27/2020,717
AMZN,3/28/2020,848
AMZN,3/29/2020,993
AMZN,3/30/2020,1094
AMZN,3/31/2020,1215
AMZN,4/1/2020,1378
AMZN,4/2/2020,1510
AMZN,4/3/2020,1688
AMZN,4/4/2020,1890
AMZN,4/5/2020,2143
AMZN,4/6/2020,2439
AMZN,4/7/2020,2785
AMZN,4/8/2020,3181
AMZN,4/9/2020,3441
AMZN,4/10/2020,3844
AMZN,4/11/2020,4219
AMZN,4/12/2020,4661
AMZN,4/13/2020,5014
AMZN,4/14/2020,5399
AMZN,4/15/2020,5847
AMZN,4/16/2020,6297
AMZN,4/17/2020,6875
AMZN,4/18/2020,7497
AMZN,4/19/2020,8261
AMZN,4/20/2020,8772
AMZN,4/21/2020,9501
AMZN,4/22/2020,10544
AMZN,4/23/2020,11633
AMZN,4/24/2020,12872
AMZN,4/25/2020,13842
AMZN,4/26/2020,14677
AMZN,4/27/2020,15529
AMZN,4/28/2020,16752
AMZN,4/29/2020,17799
AMZN,4/30/2020,19224
AMZN,5/1/2020,20739
AMZN,5/2/2020,22088
AMZN,5/3/2020,23471
AMZN,5/4/2020,24905
AMZN,5/5/2020,26025
AMZN,5/6/2020,27634
AMZN,5/7/2020,29616
AMZN,5/8/2020,31522
AMZN,5/9/2020,33460
AMZN,5/10/2020,35022
AMZN,5/11/2020,36327
AMZN,5/12/2020,38324
AMZN,5/13/2020,40186
AMZN,5/14/2020,42595
AMZN,5/15/2020,45032
AMZN,5/16/2020,47144
AMZN,5/17/2020,49219
AMZN,5/18/2020,51633
AMZN,5/19/2020,54346
AMZN,5/20/2020,56594
AMZN,5/21/2020,59567
AMZN,5/22/2020,62527
AMZN,5/23/2020,65856
AMZN,5/24/2020,68620
AMZN,5/25/2020,71105
AMZN,5/26/2020,74560
AMZN,5/27/2020,78023
AMZN,5/28/2020,81400
AMZN,5/29/2020,84627
AMZN,5/30/2020,87512
AMZN,5/31/2020,90664
AMZN,6/1/2020,93435
AMZN,6/2/2020,97326
AMZN,6/3/2020,101238
AMZN,6/4/2020,105680
AMZN,6/5/2020,110026
AMZN,6/6/2020,113619
AMZN,6/7/2020,117103
AMZN,6/8/2020,120102
AMZN,6/9/2020,124301
AMZN,6/10/2020,129184
AMZN,6/11/2020,133974
AMZN,6/12/2020,139196
AMZN,6/13/2020,142690
AMZN,6/14/2020,146837
AMZN,6/15/2020,150264
AMZN,6/16/2020,154863
AMZN,6/17/2020,159793
AMZN,6/18/2020,165455
AMZN,6/19/2020,170485
AMZN,6/20/2020,175202
AMZN,6/21/2020,180545
AMZN,6/22/2020,185122
AMZN,6/23/2020,191410
AMZN,6/24/2020,196847
AMZN,6/25/2020,202951
AMZN,6/26/2020,208392
AMZN,6/27/2020,212802
AMZN,6/28/2020,216852
AMZN,6/29/2020,220657
AMZN,6/30/2020,226089
AMZN,7/1/2020,231770
AMZN,7/2/2020,238511
AMZN,7/3/2020,245251
AMZN,7/4/2020,252165
AMZN,7/5/2020,256848
AMZN,7/6/2020,261750
AMZN,7/7/2020,268008
AMZN,7/8/2020,275003
AMZN,7/9/2020,282283
AMZN,7/10/2020,289174
AMZN,7/11/2020,295268
AMZN,7/12/2020,299750
AMZN,7/13/2020,304435
AMZN,7/14/2020,311486
AMZN,7/15/2020,317635
AMZN,7/16/2020,324041
AMZN,7/17/2020,331298
AMZN,7/18/2020,338913
AMZN,7/19/2020,344224
AMZN,7/20/2020,349396
